"The Order Updated report is created in
                            real time and does not require a refresh.
                        ","The Order Updated report is created in
                            real time and does not require a refresh.
                        "
"Quote ID","Quote ID"
Content,Content
"Created At","Created At"
"Updated At","Updated At"
ID,ID
message_id,message_id
"Store View","Store View"
Delete,Delete
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
